step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
749,1.31605,0.59804,,,,
750,1.65662,0.56081,2.20583,0.50968,,
751,1.67279,0.58772,,,,
752,1.83382,0.57738,,,,
753,1.64334,0.53731,,,,
754,0.84757,0.74227,,,,
755,1.8655,0.47436,,,,
756,1.6534,0.54739,,,,
757,1.78423,0.52679,,,,
758,1.76856,0.52893,,,,
759,1.57969,0.58188,,,,
760,1.67203,0.58079,1.57772,0.6,,
761,1.39228,0.5974,,,,
762,1.46987,0.54545,,,,
763,1.18088,0.63158,,,,
764,0.9617,0.72222,,,,
765,1.62409,0.50467,,,,
766,1.71413,0.59825,,,,
767,1.60431,0.54577,,,,
768,1.38097,0.58182,,,,
769,1.78424,0.59124,,,,
770,2.045,0.53304,2.80642,0.37059,,
771,1.68112,0.58182,,,,
772,1.7866,0.55645,,,,
773,1.75477,0.50385,,,,
774,2.09354,0.44715,,,,
775,2.46171,0.41404,,,,
776,2.07577,0.52217,,,,
777,1.89787,0.48413,,,,
778,1.44427,0.61856,,,,
779,2.00537,0.52475,,,,
780,1.81439,0.55172,3.39045,0.36782,,
781,2.33966,0.42453,,,,
782,1.08656,0.70732,,,,
783,0.44059,0.94203,,,,
784,1.11339,0.67606,,,,
785,1.60784,0.58889,,,,
786,1.56599,0.58453,,,,
787,0.75038,0.81034,,,,
788,1.0472,0.70866,,,,
789,1.31877,0.62733,,,,
790,0.98585,0.70588,2.61427,0.49275,,
791,1.54244,0.6,,,,
792,1.6072,0.59898,,,,
793,1.02897,0.67143,,,,
794,1.91998,0.52717,,,,
795,1.82944,0.54348,,,,
796,0.7103,0.7732,,,,
797,1.87795,0.5,,,,
798,2.22211,0.44033,,,,
799,2.0836,0.43624,,,,
800,2.60748,0.42,2.25941,0.505,,
801,1.99538,0.45763,,,,
802,1.93437,0.48029,,,,
803,0.77112,0.86111,,,,
804,1.29307,0.63823,,,,
805,1.03082,0.72789,,,,
806,1.94856,0.48113,,,,
807,1.46774,0.62431,,,,
808,2.12864,0.47938,,,,
809,1.92257,0.53723,,,,
810,1.36511,0.68462,2.5362,0.42574,,
811,1.4115,0.61842,,,,
812,1.69564,0.57233,,,,
813,1.69113,0.56735,,,,
814,0.41438,0.90789,,,,
815,1.83354,0.55556,,,,
816,1.46634,0.56585,,,,
817,2.39,0.4292,,,,
818,1.91433,0.55102,,,,
819,1.59642,0.56855,,,,
820,1.77511,0.53968,2.18047,0.52258,,
821,1.3967,0.62727,,,,
